from,to,weight
Platzeck,11,1
Platzeck,NA,3
Pofalla,9,1
Pofalla,5,3
Praetorius,7,2
Praetorius,4,1
Tillich,9,1
Hasselfeldt,10,1
Hasselfeldt,NA,3
Kampeter,9,1
Kampeter,2,3
Kapferer,NA,1
Kapferer,6,3
Kempf,5,3
Nemat,5,3
Reiche,9,1
Reiche,2,3
Roestel,12,1
Roestel,6,3
Schweitzer,2,3
Schweitzer,6,3
Grothus,4,2
Wodtke,9,2
Wodtke,4,2
Herntier,8,3
Kreuzberg,9,2
Kreuzberg,8,2
Priggen,12,1
Priggen,4,3
Vassiliadis,11,1
Vassiliadis,3,3
Scheidt,11,1
Scheidt,6,2
Körzell,11,1
Körzell,3,3
Kaiser,4,3
Weiger,4,3
Niebert,4,3
Allmendinger,7,NA
Matthes,7,NA
Schellnhuber,7,NA
Niebuhr,7,NA
Wehrspohn,7,NA